frame,hip_R_3d,hip_R_xy,hip_R_yz,hip_R_xz,knee_R_3d,knee_R_xy,knee_R_yz,knee_R_xz,ankle_R_3d,ankle_R_xy,ankle_R_yz,ankle_R_xz,hip_L_3d,hip_L_xy,hip_L_yz,hip_L_xz,knee_L_3d,knee_L_xy,knee_L_yz,knee_L_xz,ankle_L_3d,ankle_L_xy,ankle_L_yz,ankle_L_xz,pelvic_yz,pelvic_xz,28_x,28_y,28_z,27_x,27_y,27_z,24_x,23_x,11_y,12_y,pelvis_z,knee_xy_r,knee_xy_l,ankle_xy_r,ankle_xy_l,knee_xy,ankle_xy,img_w,img_h,scale_cm_per_px
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
110,167.64830137399534,169.2602377028984,170.9347764138909,167.8119398676987,170.10598412981952,176.93833365286446,170.69524541424204,171.56363218512038,68.12983646271576,124.3232617837081,58.843488920038666,42.19348498785845,137.8898702880605,172.11668307661373,138.32012087548063,161.0308241078744,171.31874069523727,165.01544807939314,178.85829028079013,169.5433025843925,68.88809411244564,156.33470003869974,69.44553918806132,0.309437180309975,-178.42086440800725,175.66077732554652,0.8857874274253845,0.1154558658599853,0.1938382536172866,0.9754530787467957,0.1390334069728851,0.6119002103805542,0.9701963067054749,0.9529772400856018,0.7746690511703491,0.8056342601776123,-5.3390860557549213e-05,176.93833365286446,165.01544807939314,124.3232617837081,156.33470003869974,170.9768908661288,140.32898091120393,1920.0,1080.0,0.2
111,169.05966075898942,169.27588657625515,173.3190748399212,166.70462027375675,168.40640345765374,174.63940100054973,169.70901667542088,168.04758973929788,72.10592932086195,123.80275669650264,62.89197316892516,45.065424105672776,147.92263824895267,178.45728317389805,147.81708693623412,165.77261837946722,160.9720271961001,152.9574522709178,174.08133602967092,158.04838480800706,73.64272723071757,153.44086124574335,70.62351911153019,32.51573231230497,-178.51871016748453,175.9397934781929,0.8842461109161377,0.1154515594244003,0.1954151839017868,1.054282784461975,0.1813777387142181,0.4338970780372619,0.9661223888397216,0.9513835906982422,0.7768229246139526,0.8076299428939819,-8.729845285414956e-05,174.63940100054973,152.9574522709178,123.80275669650264,153.44086124574335,163.79842663573376,138.621808971123,1920.0,1080.0,0.2
112,172.04323172449324,172.4634092001075,174.57622684721576,171.7346815521821,165.1140799299544,172.29823857168273,166.87380704040226,166.47800524707407,74.76371769794433,123.27353282016092,66.45760967375209,47.72825495389741,149.05510309296184,169.94482653463407,149.5775746293142,177.93589324569356,164.6166915592214,158.56666963165205,173.69536390098102,163.8674208041787,79.27787652000505,149.51908165645588,77.2706785876099,32.21070445470074,-178.4966483888019,173.18731036378622,0.8833371996879578,0.1155065521597862,0.232549175620079,1.0533347129821775,0.1713250279426574,0.4416130185127258,0.9471226334571838,0.9220629334449768,0.7825957536697388,0.8071808815002441,-7.67968595027993e-05,172.29823857168273,158.56666963165205,123.27353282016092,149.51908165645588,165.4324541016674,136.3963072383084,1920.0,1080.0,0.2
113,175.5072335647633,175.2012848449052,178.81502259795406,170.84339185423391,163.05717090394623,173.48061487337102,164.2575053027731,164.26805991639569,79.65000193832374,124.22078714084114,73.74577774919646,47.25185500157324,148.96082303269174,175.14682485809396,149.06465094319873,179.65672885190338,152.61613271728507,140.44676680326435,163.41336563650117,156.35748361497664,98.69183758668046,149.29551770167396,92.8504349762305,59.02657111241193,-178.61388534046662,170.42740053721457,0.8834553956985474,0.1141816228628158,0.1667862683534622,1.0271183252334597,0.2016215473413467,0.4566535055637359,0.9351279139518738,0.9008365869522096,0.7860070466995239,0.807567834854126,-7.238611578945509e-05,173.48061487337102,140.44676680326435,124.22078714084114,149.29551770167396,156.9636908383177,136.75815242125753,1920.0,1080.0,0.2
114,163.8654532293815,176.50292872877057,164.23502575561548,154.11248887179997,151.5513224587376,173.11307295406286,152.34605315772697,146.0945986386308,76.83884698182239,122.60073345224646,72.53524521809285,39.56128352196793,151.88746453412085,177.14802203610913,151.96098321827284,176.96501239072782,148.4658308731727,135.6889814579054,158.7859054055847,154.28626240385015,86.38530577087718,127.29547476321349,88.33445218733823,19.079613072007557,-178.5078037971132,168.64533244434804,0.8832921385765076,0.1138781905174255,0.0952841341495513,0.984035849571228,0.2190211117267608,0.4254822134971618,0.9234694242477416,0.8834800124168396,0.7902203798294067,0.8076676726341248,-6.983056664464776e-05,173.11307295406286,135.6889814579054,122.60073345224646,127.29547476321349,154.40102720598412,124.94810410772997,1920.0,1080.0,0.2
115,160.97683725015318,178.31286406253503,161.0105783941544,155.2314630407949,155.9737047722993,173.84797001903152,156.72246920080923,147.0822566380921,83.13230945045899,122.30620810101134,81.06314427285399,38.68233624311064,175.47620270684064,177.2581406039194,176.32102069861176,171.20194196987165,139.473030208047,140.2514063482346,154.06748871276977,129.03763224391784,101.7585568620047,138.81358046850792,105.77233690109384,31.926466339133366,-178.20969127771576,168.53853728373957,0.8833043575286865,0.1177241951227188,0.0591421090066432,0.940244734287262,0.218350350856781,0.245534673333168,0.9106310606002808,0.8704978227615356,0.7996388673782349,0.8124608397483826,-7.714703679085472e-05,173.84797001903152,140.2514063482346,122.30620810101134,138.81358046850792,157.04968818363307,130.55989428475962,1920.0,1080.0,0.2
